cin,company_name,status,incorporation_date,state,director_1,director_2,paid_up_capital,last_filing_date,email
U74999KA2019PTC661894,Metro Ventures Pvt Ltd,DORMANT,2011/04/24,Karnataka,Ashok Reddy,Geeta Sharma,50000000,04-04-2023,admin@gmail.com
U74999UP2018PTC889359,Apex Finance Pvt Ltd,Active,16-08-2012,Uttar Pradesh,Kiran Patel,Vandana Bhat,"₹100,000",02-05-2022,accounts@gmail.com
U74999MP2009PTC685181,Apex Technologies Pvt Ltd,strike off,15-08-2014,Madhya Pradesh,Manisha Kumar,Anil Das,"₹500,000",10-10-2024,admin@company.co.in
U74999TN2014PTC572387,Catalyst Technologies Pvt Ltd,Struck Off,04/10/2008,Tamil Nadu,Manoj Dubey,,"₹50,000,000",03-11-2024,contact@catalyst
U74999TN2009PTC162535,Paradigm Enterprises Pvt Ltd,ACTIVE,10-10-2019,Tamil Nadu,Vandana Iyer,Shobha Pillai,"₹100,000",23-05-2024,hello@company.co.in
U74999GJ2018PTC976566,Bharat Technologies Pvt Ltd,Under liquidation,27-11-2020,Gujarat,Kiran Hegde,Usha Joshi,10000000,25-03-2021,hello@gmail.com
U74999RJ2021PTC268637,Pioneer Consulting Pvt Ltd,Active ,07/27/2018,Rajasthan,Vivek Iyer,Vandana Srivastava,"10,000,000",15-02-2021,info@company.co.in
U74999WB2013PTC752878,Synergy Solutions Pvt Ltd,Struck Off,18-05-2011,West Bengal,Ashok Pillai,Shobha Patel,Rs. 100000,,support@yahoo.com
U74999GJ2009PTC335615,Catalyst Solutions Pvt Ltd,Dormant,27-11-2009,Gujarat,Usha Rao,Kiran Reddy,"₹5,000,000",17-12-2023,hello@yahoo.com
U74999UP2009PTC389666,Metro Advisors Pvt Ltd,Struck Off,09/09/2022,Uttar Pradesh,Archana Desai,Shobha Srivastava,500000,24-05-2023,hello@outlook.com
U74999UP2021PTC297816,Vertex Systems Pvt Ltd,Dormant,28-04-2014,Uttar Pradesh,Kiran Chatterjee,Girish Mishra,"50,000,000",11-12-2021,accounts@yahoo.com
U74999MH2013PTC205239,Prime Infosystems Pvt Ltd,under liquidation,01-08-2016,Maharashtra,Meena Singh,Prakash Shah,"₹10,000,000",28-11-2024,accounts@gmail.com
U74999UP2022PTC896290,Vertex Consulting Pvt Ltd,Active,21-04-2009,Uttar Pradesh,Kavita Rao,Anil Pillai,"₹500,000",08-12-2023,info@gmail.com
U74999MH2010PTC356059,Apex Consulting Pvt Ltd,active,2010/02/20,Maharashtra,Meena Reddy,Prakash Pillai,"₹1,000,000",16-10-2022,hello@outlook.com
U74999TN2017PTC413685,National Systems Pvt Ltd,Struck Off,05/07/2015,Tamil Nadu,Girish Desai,Ashok Chatterjee,1000000,04-04-2024,accounts@national.com
U74999MP2008PTC735863,Centurion Infrastructure Pvt Ltd,STRIKE OFF,2017/06/08,Madhya Pradesh,Rajesh Agarwal,,"₹50,000,000",22-12-2023,@@centurion.com
U74999TN2019PTC535686,National Advisors Pvt Ltd,active,17-06-2022,Tamil Nadu,Prakash Dubey,Kiran Tiwari,"₹1,000,000",27-03-2023,admin@gmail.com
U74999KA2021PTC809176,Prime Logistics Pvt Ltd,Struck Off,26-02-2013,Karnataka,Renu Verma,Prakash Desai,"5,000,000",18-02-2023,admin@gmail.com
U74999WB2016PTC443939,Bharat Innovations Pvt Ltd,Under Liquidation,23-08-2018,West Bengal,Suresh Kumar,Shobha Patel,100000,04-03-2024,support@yahoo.com
U74999TS2016PTC539486,Allied Finance Pvt Ltd,active,27-02-2018,Telangana,Smita Nair,Lalitha Srivastava,1000000,09-01-2024,accounts@outlook.com
U74999TS2009PTC989227,India Analytics Pvt Ltd,Under Liquidation,2018/11/20,Telangana,Lalitha Mehta,Rekha Singh,10000000,26-06-2021,contact@yahoo.com
U74999TN2012PTC251716,Insight Advisors Pvt Ltd,DORMANT,03/04/2020,Tamil Nadu,Harish Tiwari,Archana Shah,100000,05-01-2021,info@yahoo.com
,Global Finance Pvt Ltd,ACTIVE,15-02-2017,Uttar Pradesh,Madhuri Gupta,Priya Kumar,"5,000,000",24-11-2021,hello@company.co.in..
U74999KA2010PTC168872,Meridian Technologies Pvt Ltd,ACTIVE,10-09-2017,Karnataka,Sunita Srivastava,Seema Mukherjee,500000,04-12-2024,contact@meridian.com
U74999WB2013PTC547494,Vertex Analytics Pvt Ltd,ACTIVE,11/16/2010,West Bengal,Kavita Singh,Smita Tiwari,"₹500,000",,support@vertex.in
U74999KA2020PTC543481,Synergy Consulting Pvt Ltd,Under liquidation,10-10-2012,Karnataka,Kiran Reddy,Harish Srivastava,10000000,05-11-2022,admin@synergy.in
U74999RJ2021PTC751924,Centurion Infosystems Pvt Ltd,Strike Off,27-11-2022,Rajasthan,Geeta Dubey,Ramesh Joshi,"₹500,000",06-05-2021,hello@gmail.com
U74999MH2014PTC540226,National Finance Pvt Ltd,active,12/11/2012,Maharashtra,Deepak Das,Kavita Iyer,"₹5,000,000",02-03-2021,hello@national.in
U74999GJ2013PTC550797,Fintech Logistics Pvt Ltd,Active ,02-05-2018,Gujarat,Geeta Nair,Prakash Gupta,1000000,01-04-2021,hello@company.co.in
U74999TN2016PTC685864,Vertex Infosystems Pvt Ltd,under liquidation,02-12-2014,Tamil Nadu,Rohit Rao,Dinesh Gupta,100000,03-06-2024,admin@yahoo.com
U74999MP2013PTC192410,Nexus Realty Pvt Ltd,Active,2014/10/13,Madhya Pradesh,Nandini Reddy,Deepak Singh,"₹10,000,000",28-05-2024,support@nexus.in
U74999TS2018PTC954628,Horizon Finance Pvt Ltd,Active,2012/04/06,Telangana,Shobha Pillai,Archana Pillai,Rs. 50000000,06-11-2021,support@company.co.in
U74999MP2013PTC258290,Pioneer Realty Pvt Ltd,Active ,26-05-2018,Madhya Pradesh,Vijay Gupta,Suresh Kumar,"1,000,000",12-09-2021,info@company.co.in
U74999KA2015PTC708519,Capital Innovations Pvt Ltd,Active,21-10-2022,Karnataka,Anita Pillai,,Rs. 1000000,17-03-2024,info@capital.in
U74999MH2015PTC649525,Digital Finance Pvt Ltd,active,05/13/2013,Maharashtra,Anita Tiwari,Nandini Singh,1000000,22-10-2023,accounts@digital.com
U74999MP2017PTC795847,Centurion Services Pvt Ltd,ACTIVE,12/22/2018,Madhya Pradesh,Girish Agarwal,Rajesh Banerjee,"50,000,000",10-09-2021,accounts@company.co.in
U74999KA2013PTC119116,Infra Infrastructure Pvt Ltd,active,2013/08/07,Karnataka,Ashok Srivastava,Arvind Das,"10,000,000",05-02-2022,support@gmail.com
U74999MP2010PTC289630,Prime Innovations Pvt Ltd,Under liquidation,2019/08/02,Madhya Pradesh,Ashok Das,Mohan Reddy,10000000,15-10-2022,hello@yahoo.com
U74999MP2020PTC500422,Nexus Systems Pvt Ltd,Active ,2021/04/26,Madhya Pradesh,Kiran Srivastava,Anil Chatterjee,"10,000,000",02-11-2023,admin@gmail.com
U74999GJ2021PTC558723,Nexus Advisors Pvt Ltd,active,01-06-2022,Gujarat,Lalitha Mishra,Smita Reddy,100000,17-06-2024,info@company.co.in
U74999TN2021PTC595404,Prime Solutions Pvt Ltd,strike off,01-10-2015,Tamil Nadu,Meena Naik,Santosh Hegde,5000000,09-04-2021,admin@yahoo.com
U74999MH2017PTC579318,Digital Analytics Pvt Ltd,Active ,21-01-2016,Maharashtra,Ashok Rao,,1000000,23-03-2022,hello@yahoo.com
,Zenith Consulting Pvt Ltd,Active,02-08-2021,Karnataka,Priya Verma,Harish Reddy,"₹50,000,000",09-12-2023,info@zenith.in
U74999TS2013PTC953025,Prime Solutions Pvt Ltd,Struck Off,26-03-2018,Telangana,Renu Kumar,,"100,000",,info@outlook.com
U74999UP2012PTC138399,Vertex Realty Pvt Ltd,strike off,01/28/2013,Uttar Pradesh,Jyoti Yadav,Mohan Yadav,5000000,04-06-2023,contact@vertex.com
U74999TS2020PTC186624,Paradigm Logistics Pvt Ltd,Strike Off,18-03-2017,Telangana,Ashok Gupta,Jyoti Joshi,50000000,03-06-2021,hello@gmail.com
